City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Jamestown,US,82.99,42.1,-79.24,Hampton Inn & Suites Jamestown
2,Cururupu,BR,78.44,-1.83,-44.87,Pousada Través'cia
6,San Patricio,MX,89.6,19.22,-104.7,Hotel Cabo Blanco
8,Fortuna,US,66.0,40.6,-124.16,Super 8 by Wyndham Fortuna
9,Mpongwe,ZM,61.57,-13.51,28.16,GCMF Office & Lodge
12,Pacific Grove,US,84.99,36.62,-121.92,Lovers Point Inn
13,Butaritari,KI,82.9,3.07,172.79,Isles Sunset Lodge
14,Albany,US,84.0,42.6,-73.97,
16,Rudbar,AF,84.52,30.15,62.6,
17,Rikitea,PF,66.92,-23.12,-134.97,
18,Saint-Philippe,RE,69.8,-21.36,55.77,
20,Norman Wells,CA,66.2,65.28,-126.83,
21,Kalangala,UG,69.8,-0.31,32.23,
23,Atuona,PF,78.21,-9.8,-139.03,
24,Timra,SE,66.99,62.49,17.33,
25,Sitka,US,60.8,57.05,-135.33,
26,Dingle,PH,76.86,11.0,122.67,
27,Jiquipilas,MX,86.0,16.67,-93.65,
28,Waldshut-Tiengen,DE,64.99,47.62,8.22,
29,Arraial Do Cabo,BR,68.0,-22.97,-42.03,
33,Songjianghe,CN,62.46,42.19,127.48,
34,Manta,EC,73.4,-0.95,-80.73,
35,Ixtapa,MX,90.0,20.7,-105.2,
41,Constantine,DZ,80.6,36.37,6.61,
42,Kununurra,AU,66.2,-15.77,128.73,
43,Puerto Ayora,EC,75.2,-0.74,-90.35,
45,Sechura,PE,74.3,-5.56,-80.82,
46,Alberton,CA,68.0,46.82,-64.07,
47,Kapaa,US,84.2,22.08,-159.32,
48,Khani,GE,66.2,41.96,42.96,
50,Chester,US,84.99,40.13,-75.87,
56,General Roca,AR,71.6,-39.03,-67.58,
57,Sandviken,SE,64.0,60.62,16.77,
58,Inhambane,MZ,63.23,-23.86,35.38,
59,Puerto Del Rosario,ES,78.8,28.5,-13.86,
61,East London,ZA,66.22,-33.02,27.91,
62,Saurimo,AO,71.82,-9.66,20.39,
64,Arroyo,ES,71.01,41.61,-4.8,
65,Namatanai,PG,79.09,-3.67,152.43,
67,Avarua,CK,77.0,-21.21,-159.78,
68,Asau,RO,63.0,46.43,26.4,
